Date,Open,High,Low,Close,Adj Close,Volume
2023-10-10,6.199999916134402e-05,6.70000008540228e-05,6.0999998822808266e-05,6.399999983841553e-05,6.399999983841553e-05,8276
2023-10-11,6.399999983841553e-05,6.500000017695129e-05,4.199999966658652e-05,5.2999999752501026e-05,5.2999999752501026e-05,26760
2023-10-12,5.2999999752501026e-05,5.8000001445179805e-05,2.499999936844688e-05,3.300000025774352e-05,3.300000025774352e-05,108230
2023-10-13,3.300000025774352e-05,3.7000001611886546e-05,2.700000004551839e-05,3.199999991920777e-05,3.199999991920777e-05,26125
2023-10-14,3.199999991920777e-05,5.8000001445179805e-05,3.199999991920777e-05,5.8000001445179805e-05,5.8000001445179805e-05,57711
2023-10-15,5.8000001445179805e-05,5.900000178371556e-05,3.600000127335079e-05,3.600000127335079e-05,3.600000127335079e-05,63220
2023-10-16,3.7000001611886546e-05,4.5000000682193786e-05,3.400000059627928e-05,3.600000127335079e-05,3.600000127335079e-05,75953
2023-10-17,3.600000127335079e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.7000001611886546e-05,3.7000001611886546e-05,25339
2023-10-18,3.7000001611886546e-05,3.7000001611886546e-05,2.9000000722589903e-05,3.199999991920777e-05,3.199999991920777e-05,33535
2023-10-19,3.199999991920777e-05,3.199999991920777e-05,2.5999999706982635e-05,2.9000000722589903e-05,2.9000000722589903e-05,20957
2023-10-20,2.9000000722589903e-05,3.400000059627928e-05,2.300000051036477e-05,3.099999958067201e-05,3.099999958067201e-05,39414
2023-10-21,3.099999958067201e-05,3.199999991920777e-05,2.300000051036477e-05,2.700000004551839e-05,2.700000004551839e-05,31697
2023-10-22,2.700000004551839e-05,3.300000025774352e-05,2.300000051036477e-05,2.8000000384054147e-05,2.8000000384054147e-05,34788
2023-10-23,2.700000004551839e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.8000000384054147e-05,2.8000000384054147e-05,26605
2023-10-24,2.8000000384054147e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.700000004551839e-05,2.700000004551839e-05,15043
2023-10-25,2.700000004551839e-05,3.199999991920777e-05,2.5999999706982635e-05,2.9000000722589903e-05,2.9000000722589903e-05,21414
2023-10-26,2.9000000722589903e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9999999242136255e-05,2.9999999242136255e-05,14573
2023-10-27,2.9999999242136255e-05,3.199999991920777e-05,2.8000000384054147e-05,2.9999999242136255e-05,2.9999999242136255e-05,23868
2023-10-28,2.9999999242136255e-05,3.7000001611886546e-05,2.9000000722589903e-05,3.7000001611886546e-05,3.7000001611886546e-05,22125
2023-10-29,3.7000001611886546e-05,4.099999932805076e-05,3.400000059627928e-05,3.7999998312443495e-05,3.7999998312443495e-05,32656
2023-10-30,3.7999998312443495e-05,5.0999999075429514e-05,3.7000001611886546e-05,4.8999998398358e-05,4.8999998398358e-05,50124
2023-10-31,4.8999998398358e-05,5.199999941396527e-05,3.600000127335079e-05,3.7999998312443495e-05,3.7999998312443495e-05,73937
2023-11-01,3.7999998312443495e-05,4.400000034365803e-05,3.600000127335079e-05,4.3000000005122274e-05,4.3000000005122274e-05,70977
2023-11-02,4.3000000005122274e-05,4.3000000005122274e-05,3.7000001611886546e-05,3.9999998989515007e-05,3.9999998989515007e-05,91928
2023-11-03,3.9999998989515007e-05,3.9999998989515007e-05,3.400000059627928e-05,3.7000001611886546e-05,3.7000001611886546e-05,66831
2023-11-04,3.7000001611886546e-05,3.7999998312443495e-05,3.400000059627928e-05,3.5000000934815034e-05,3.5000000934815034e-05,47877
2023-11-05,3.5000000934815034e-05,4.999999873689376e-05,3.5000000934815034e-05,4.5000000682193786e-05,4.5000000682193786e-05,97073
2023-11-06,4.5000000682193786e-05,5.199999941396527e-05,4.5000000682193786e-05,4.600000102072954e-05,4.600000102072954e-05,28639
2023-11-07,4.600000102072954e-05,4.8000001697801054e-05,4.400000034365803e-05,4.600000102072954e-05,4.600000102072954e-05,19324
2023-11-08,4.600000102072954e-05,4.600000102072954e-05,4.400000034365803e-05,4.400000034365803e-05,4.400000034365803e-05,17495
2023-11-09,4.400000034365803e-05,4.600000102072954e-05,4.400000034365803e-05,4.5000000682193786e-05,4.5000000682193786e-05,20567
2023-11-10,4.5000000682193786e-05,4.8999998398358e-05,4.3000000005122274e-05,4.600000102072954e-05,4.600000102072954e-05,22177
2023-11-11,4.600000102072954e-05,4.8000001697801054e-05,4.400000034365803e-05,4.600000102072954e-05,4.600000102072954e-05,15430
2023-11-12,4.600000102072954e-05,4.8000001697801054e-05,4.3000000005122274e-05,4.5000000682193786e-05,4.5000000682193786e-05,17158
2023-11-13,4.5000000682193786e-05,4.8000001697801054e-05,4.3000000005122274e-05,4.400000034365803e-05,4.400000034365803e-05,17708
2023-11-14,4.400000034365803e-05,5.0999999075429514e-05,4.3000000005122274e-05,4.600000102072954e-05,4.600000102072954e-05,22496
2023-11-15,4.600000102072954e-05,4.70000013592653e-05,4.5000000682193786e-05,4.600000102072954e-05,4.600000102072954e-05,11613
2023-11-16,4.600000102072954e-05,4.8000001697801054e-05,4.400000034365803e-05,4.600000102072954e-05,4.600000102072954e-05,10546
2023-11-17,4.600000102072954e-05,4.600000102072954e-05,4.199999966658652e-05,4.199999966658652e-05,4.199999966658652e-05,6099
2023-11-18,4.199999966658652e-05,4.8999998398358e-05,4.099999932805076e-05,4.600000102072954e-05,4.600000102072954e-05,26928
2023-11-19,4.600000102072954e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,10057
2023-11-20,4.5000000682193786e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.70000013592653e-05,4.70000013592653e-05,10617
2023-11-21,4.70000013592653e-05,4.70000013592653e-05,4.3000000005122274e-05,4.3000000005122274e-05,4.3000000005122274e-05,6808
2023-11-22,4.3000000005122274e-05,4.5000000682193786e-05,3.600000127335079e-05,4.099999932805076e-05,4.099999932805076e-05,11535
2023-11-23,4.099999932805076e-05,4.199999966658652e-05,3.7000001611886546e-05,3.899999865097925e-05,3.899999865097925e-05,17359
2023-11-24,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.7999998312443495e-05,3.7999998312443495e-05,25470
2023-11-25,3.7999998312443495e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.7999998312443495e-05,3.7999998312443495e-05,15985
2023-11-26,3.7999998312443495e-05,4.600000102072954e-05,3.5000000934815034e-05,4.3000000005122274e-05,4.3000000005122274e-05,428181
2023-11-27,4.3000000005122274e-05,4.70000013592653e-05,3.899999865097925e-05,4.3000000005122274e-05,4.3000000005122274e-05,356420
2023-11-28,4.3000000005122274e-05,4.3000000005122274e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,81925
2023-11-29,3.9999998989515007e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.7999998312443495e-05,3.7999998312443495e-05,73503
2023-11-30,3.7999998312443495e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.899999865097925e-05,3.899999865097925e-05,20194
2023-12-01,3.899999865097925e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.9999998989515007e-05,3.9999998989515007e-05,86883
2023-12-02,3.9999998989515007e-05,3.9999998989515007e-05,3.7999998312443495e-05,3.9999998989515007e-05,3.9999998989515007e-05,480788
2023-12-03,3.9999998989515007e-05,4.099999932805076e-05,3.7999998312443495e-05,3.7999998312443495e-05,3.7999998312443495e-05,11007
2023-12-04,3.7999998312443495e-05,4.099999932805076e-05,3.7999998312443495e-05,3.899999865097925e-05,3.899999865097925e-05,9658
2023-12-05,3.899999865097925e-05,4.999999873689376e-05,3.7000001611886546e-05,4.600000102072954e-05,4.600000102072954e-05,40430
2023-12-06,4.600000102072954e-05,4.8999998398358e-05,4.3000000005122274e-05,4.70000013592653e-05,4.70000013592653e-05,173390
2023-12-07,4.70000013592653e-05,4.70000013592653e-05,4.3000000005122274e-05,4.400000034365803e-05,4.400000034365803e-05,10612
2023-12-08,4.400000034365803e-05,4.400000034365803e-05,4.099999932805076e-05,4.3000000005122274e-05,4.3000000005122274e-05,10821
2023-12-09,4.3000000005122274e-05,5.400000009103678e-05,4.099999932805076e-05,5.199999941396527e-05,5.199999941396527e-05,7883963
2023-12-10,5.199999941396527e-05,6.500000017695129e-05,5.0999999075429514e-05,5.8000001445179805e-05,5.8000001445179805e-05,1643699
2023-12-11,5.8000001445179805e-05,5.900000178371556e-05,4.70000013592653e-05,4.999999873689376e-05,4.999999873689376e-05,403814
2023-12-12,4.999999873689376e-05,5.999999848427251e-05,4.8999998398358e-05,5.6000000768108293e-05,5.6000000768108293e-05,243501
2023-12-13,5.6000000768108293e-05,5.900000178371556e-05,5.0999999075429514e-05,5.2999999752501026e-05,5.2999999752501026e-05,722256
2023-12-14,5.2999999752501026e-05,5.999999848427251e-05,4.8999998398358e-05,5.0999999075429514e-05,5.0999999075429514e-05,1154255
2023-12-15,5.0999999075429514e-05,5.400000009103678e-05,4.70000013592653e-05,4.8999998398358e-05,4.8999998398358e-05,21888
2023-12-16,4.8999998398358e-05,5.199999941396527e-05,4.70000013592653e-05,4.999999873689376e-05,4.999999873689376e-05,18387
2023-12-17,4.999999873689376e-05,5.0999999075429514e-05,4.8000001697801054e-05,4.999999873689376e-05,4.999999873689376e-05,9539
2023-12-18,4.999999873689376e-05,5.199999941396527e-05,4.3000000005122274e-05,4.8999998398358e-05,4.8999998398358e-05,53238
2023-12-19,4.8999998398358e-05,4.8999998398358e-05,4.3000000005122274e-05,4.600000102072954e-05,4.600000102072954e-05,29348
2023-12-20,4.600000102072954e-05,4.999999873689376e-05,4.400000034365803e-05,4.8000001697801054e-05,4.8000001697801054e-05,24242
2023-12-21,4.8000001697801054e-05,4.8000001697801054e-05,4.099999932805076e-05,4.199999966658652e-05,4.199999966658652e-05,49571
2023-12-22,4.199999966658652e-05,4.5000000682193786e-05,4.199999966658652e-05,4.400000034365803e-05,4.400000034365803e-05,38487
2023-12-23,4.400000034365803e-05,4.600000102072954e-05,4.199999966658652e-05,4.3000000005122274e-05,4.3000000005122274e-05,41865
2023-12-24,4.3000000005122274e-05,4.400000034365803e-05,4.3000000005122274e-05,4.3000000005122274e-05,4.3000000005122274e-05,4577
2023-12-25,4.3000000005122274e-05,4.400000034365803e-05,4.199999966658652e-05,4.3000000005122274e-05,4.3000000005122274e-05,51309
2023-12-26,4.3000000005122274e-05,4.400000034365803e-05,4.199999966658652e-05,4.3000000005122274e-05,4.3000000005122274e-05,50549
2023-12-27,4.3000000005122274e-05,4.3000000005122274e-05,3.899999865097925e-05,4.099999932805076e-05,4.099999932805076e-05,52894
2023-12-28,4.099999932805076e-05,4.5000000682193786e-05,3.899999865097925e-05,4.199999966658652e-05,4.199999966658652e-05,50993
2023-12-29,4.199999966658652e-05,4.8999998398358e-05,3.9999998989515007e-05,4.5000000682193786e-05,4.5000000682193786e-05,50424
2023-12-30,4.5000000682193786e-05,4.600000102072954e-05,4.400000034365803e-05,4.400000034365803e-05,4.400000034365803e-05,50285
2023-12-31,4.400000034365803e-05,4.5000000682193786e-05,3.600000127335079e-05,4.099999932805076e-05,4.099999932805076e-05,55446
2024-01-01,4.099999932805076e-05,4.5000000682193786e-05,3.9999998989515007e-05,4.099999932805076e-05,4.099999932805076e-05,50194
2024-01-02,4.099999932805076e-05,4.400000034365803e-05,4.099999932805076e-05,4.099999932805076e-05,4.099999932805076e-05,51066
2024-01-03,4.099999932805076e-05,4.3000000005122274e-05,3.400000059627928e-05,3.5000000934815034e-05,3.5000000934815034e-05,51127
2024-01-04,3.5000000934815034e-05,3.899999865097925e-05,3.400000059627928e-05,3.899999865097925e-05,3.899999865097925e-05,50509
2024-01-05,3.899999865097925e-05,3.899999865097925e-05,3.300000025774352e-05,3.5000000934815034e-05,3.5000000934815034e-05,50521
2024-01-06,3.5000000934815034e-05,3.7000001611886546e-05,3.199999991920777e-05,3.400000059627928e-05,3.400000059627928e-05,51243
2024-01-07,3.400000059627928e-05,3.5000000934815034e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,22925
2024-01-08,3.400000059627928e-05,3.600000127335079e-05,3.099999958067201e-05,3.400000059627928e-05,3.400000059627928e-05,50271
2024-01-09,3.400000059627928e-05,3.7000001611886546e-05,3.099999958067201e-05,3.300000025774352e-05,3.300000025774352e-05,50981
2024-01-10,3.300000025774352e-05,3.5000000934815034e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,50170
2024-01-11,3.400000059627928e-05,3.600000127335079e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,51164
2024-01-12,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,50829
2024-01-13,3.199999991920777e-05,3.5000000934815034e-05,3.099999958067201e-05,3.300000025774352e-05,3.300000025774352e-05,36683
2024-01-14,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,2056
2024-01-15,3.199999991920777e-05,3.300000025774352e-05,2.9999999242136255e-05,3.199999991920777e-05,3.199999991920777e-05,11102
2024-01-16,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,8842
2024-01-17,3.099999958067201e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05,2.9999999242136255e-05,16290
2024-01-18,2.9999999242136255e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.4000000848900527e-05,2.4000000848900527e-05,24668
2024-01-19,2.4000000848900527e-05,2.5999999706982635e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2937
2024-01-20,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.4000000848900527e-05,2.4000000848900527e-05,3432
2024-01-21,2.4000000848900527e-05,3.400000059627928e-05,2.300000051036477e-05,2.700000004551839e-05,2.700000004551839e-05,14283
2024-01-22,2.700000004551839e-05,3.199999991920777e-05,2.300000051036477e-05,2.499999936844688e-05,2.499999936844688e-05,15409
2024-01-23,2.499999936844688e-05,2.5999999706982635e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,4898
2024-01-24,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,4824
2024-01-25,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,3252
2024-01-26,2.2000000171829015e-05,2.300000051036477e-05,1.9999999494757503e-05,2.2000000171829015e-05,2.2000000171829015e-05,4758
2024-01-27,2.2000000171829015e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.300000051036477e-05,2.300000051036477e-05,18451
2024-01-28,2.300000051036477e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,2.300000051036477e-05,4378
2024-01-29,2.300000051036477e-05,2.700000004551839e-05,2.099999983329326e-05,2.4000000848900527e-05,2.4000000848900527e-05,6650
2024-01-30,2.4000000848900527e-05,2.5999999706982635e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,33546
2024-01-31,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,2.099999983329326e-05,49969
2024-02-01,2.099999983329326e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.8999999156221747e-05,53257
2024-02-02,1.9999999494757503e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8999999156221747e-05,1.8999999156221747e-05,11669
2024-02-03,1.8999999156221747e-05,2.2000000171829015e-05,1.700000029813964e-05,1.9999999494757503e-05,1.9999999494757503e-05,11905
2024-02-04,1.9999999494757503e-05,2.4000000848900527e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,35647
2024-02-05,1.9999999494757503e-05,2.4000000848900527e-05,1.9999999494757503e-05,2.2000000171829015e-05,2.2000000171829015e-05,31034
2024-02-06,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.4000000848900527e-05,2.4000000848900527e-05,48639
2024-02-07,2.300000051036477e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,2.499999936844688e-05,504464
2024-02-08,2.499999936844688e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,2.499999936844688e-05,46336
2024-02-09,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,2.700000004551839e-05,511399
2024-02-10,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,346359
2024-02-11,2.5999999706982635e-05,2.700000004551839e-05,2.4000000848900527e-05,2.700000004551839e-05,2.700000004551839e-05,81376
2024-02-12,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,2.700000004551839e-05,61095
2024-02-13,2.700000004551839e-05,2.700000004551839e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,37992
2024-02-14,2.499999936844688e-05,2.5999999706982635e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,6572
2024-02-15,2.300000051036477e-05,2.4000000848900527e-05,2.099999983329326e-05,2.300000051036477e-05,2.300000051036477e-05,51788
2024-02-16,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.2000000171829015e-05,2.2000000171829015e-05,81178
2024-02-17,2.2000000171829015e-05,2.300000051036477e-05,2.099999983329326e-05,2.2000000171829015e-05,2.2000000171829015e-05,76702
2024-02-18,2.2000000171829015e-05,2.700000004551839e-05,2.2000000171829015e-05,2.5999999706982635e-05,2.5999999706982635e-05,74247
2024-02-19,2.5999999706982635e-05,2.9000000722589903e-05,2.499999936844688e-05,2.5999999706982635e-05,2.5999999706982635e-05,81740
2024-02-20,2.5999999706982635e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,2.499999936844688e-05,74480
2024-02-21,2.5999999706982635e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,2.499999936844688e-05,44054
2024-02-22,2.499999936844688e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.700000004551839e-05,2.700000004551839e-05,41719
2024-02-23,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,56785
2024-02-24,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,67800
2024-02-25,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,41983
2024-02-26,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,34261
2024-02-27,2.300000051036477e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,2.4000000848900527e-05,55545
2024-02-28,2.4000000848900527e-05,2.5999999706982635e-05,2.300000051036477e-05,2.4000000848900527e-05,2.4000000848900527e-05,65625
2024-02-29,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,62893
2024-03-01,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,58605
2024-03-02,2.499999936844688e-05,2.700000004551839e-05,2.4000000848900527e-05,2.700000004551839e-05,2.700000004551839e-05,21542
2024-03-03,2.700000004551839e-05,3.5000000934815034e-05,2.5999999706982635e-05,2.9999999242136255e-05,2.9999999242136255e-05,80652
2024-03-04,2.9999999242136255e-05,3.600000127335079e-05,2.8000000384054147e-05,3.5000000934815034e-05,3.5000000934815034e-05,78696
2024-03-05,3.5000000934815034e-05,3.7999998312443495e-05,3.099999958067201e-05,3.600000127335079e-05,3.600000127335079e-05,69757
2024-03-06,3.600000127335079e-05,3.7999998312443495e-05,3.099999958067201e-05,3.5000000934815034e-05,3.5000000934815034e-05,89582
2024-03-07,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,80621
2024-03-08,3.400000059627928e-05,3.7000001611886546e-05,3.300000025774352e-05,3.600000127335079e-05,3.600000127335079e-05,43849
2024-03-09,3.7000001611886546e-05,3.7000001611886546e-05,3.400000059627928e-05,3.600000127335079e-05,3.600000127335079e-05,73188
2024-03-10,3.600000127335079e-05,7.999999797903001e-05,3.5000000934815034e-05,6.299999949987978e-05,6.299999949987978e-05,164185
2024-03-11,6.299999949987978e-05,0.00019099999917671084,4.70000013592653e-05,0.00014000000373926014,0.00014000000373926014,467144
2024-03-12,0.00014000000373926014,0.0001849999971454963,6.900000153109431e-05,0.00011200000153621659,0.00011200000153621659,175653
2024-03-13,0.00011200000153621659,0.0001289999927394092,7.999999797903001e-05,8.70000003487803e-05,8.70000003487803e-05,97571
2024-03-14,8.70000003487803e-05,0.00010599999950500205,8.399999933317304e-05,8.499999967170879e-05,8.499999967170879e-05,54132
2024-03-15,8.499999967170879e-05,9.899999713525176e-05,7.100000220816582e-05,7.999999797903001e-05,7.999999797903001e-05,57923
2024-03-16,7.999999797903001e-05,9.699999645818025e-05,5.6000000768108293e-05,6.0999998822808266e-05,6.0999998822808266e-05,80452
2024-03-17,6.0999998822808266e-05,8.600000001024455e-05,5.199999941396527e-05,6.900000153109431e-05,6.900000153109431e-05,30730
2024-03-18,6.600000051548705e-05,6.70000008540228e-05,5.0999999075429514e-05,5.199999941396527e-05,5.199999941396527e-05,16148
2024-03-19,5.199999941396527e-05,6.70000008540228e-05,4.3000000005122274e-05,5.500000042957254e-05,5.500000042957254e-05,30229
2024-03-20,5.500000042957254e-05,5.900000178371556e-05,4.70000013592653e-05,4.999999873689376e-05,4.999999873689376e-05,8386
2024-03-21,4.999999873689376e-05,5.700000110664405e-05,4.8999998398358e-05,5.500000042957254e-05,5.500000042957254e-05,11810
2024-03-22,5.500000042957254e-05,8.499999967170879e-05,4.600000102072954e-05,6.800000119255856e-05,6.800000119255856e-05,48010
2024-03-23,6.800000119255856e-05,8.499999967170879e-05,6.0999998822808266e-05,7.899999764049426e-05,7.899999764049426e-05,32585
2024-03-24,7.899999764049426e-05,7.899999764049426e-05,6.199999916134402e-05,6.900000153109431e-05,6.900000153109431e-05,16835
2024-03-25,6.900000153109431e-05,9.40000027185306e-05,6.199999916134402e-05,7.100000220816582e-05,7.100000220816582e-05,35728
2024-03-26,7.100000220816582e-05,8.099999831756577e-05,6.299999949987978e-05,6.600000051548705e-05,6.600000051548705e-05,20770
2024-03-27,6.600000051548705e-05,6.900000153109431e-05,5.0999999075429514e-05,5.6000000768108293e-05,5.6000000768108293e-05,16932
2024-03-28,5.6000000768108293e-05,6.299999949987978e-05,5.6000000768108293e-05,5.900000178371556e-05,5.900000178371556e-05,9206
2024-03-29,5.900000178371556e-05,6.399999983841553e-05,5.500000042957254e-05,5.500000042957254e-05,5.500000042957254e-05,12045
2024-03-30,5.500000042957254e-05,5.8000001445179805e-05,5.500000042957254e-05,5.6000000768108293e-05,5.6000000768108293e-05,1922
2024-03-31,5.6000000768108293e-05,5.8000001445179805e-05,5.199999941396527e-05,5.500000042957254e-05,5.500000042957254e-05,6825
2024-04-01,5.500000042957254e-05,7.500000356230885e-05,5.500000042957254e-05,6.500000017695129e-05,6.500000017695129e-05,17046
2024-04-02,6.500000017695129e-05,7.200000254670158e-05,5.999999848427251e-05,6.399999983841553e-05,6.399999983841553e-05,9563
2024-04-03,6.399999983841553e-05,7.200000254670158e-05,5.900000178371556e-05,7.000000186963007e-05,7.000000186963007e-05,10864
2024-04-04,7.000000186963007e-05,7.000000186963007e-05,5.999999848427251e-05,6.0999998822808266e-05,6.0999998822808266e-05,10571
2024-04-05,6.0999998822808266e-05,6.399999983841553e-05,5.700000110664405e-05,5.700000110664405e-05,5.700000110664405e-05,3045
2024-04-06,5.700000110664405e-05,6.600000051548705e-05,5.700000110664405e-05,6.0999998822808266e-05,6.0999998822808266e-05,3556
2024-04-07,6.0999998822808266e-05,6.600000051548705e-05,5.999999848427251e-05,6.0999998822808266e-05,6.0999998822808266e-05,2606
2024-04-08,6.0999998822808266e-05,6.399999983841553e-05,5.999999848427251e-05,6.0999998822808266e-05,6.0999998822808266e-05,3793
2024-04-09,6.0999998822808266e-05,6.399999983841553e-05,5.700000110664405e-05,5.700000110664405e-05,5.700000110664405e-05,4078
2024-04-10,5.700000110664405e-05,6.299999949987978e-05,5.700000110664405e-05,5.999999848427251e-05,5.999999848427251e-05,23307
2024-04-11,5.999999848427251e-05,5.999999848427251e-05,4.999999873689376e-05,5.500000042957254e-05,5.500000042957254e-05,16265
2024-04-12,5.500000042957254e-05,5.700000110664405e-05,3.9999998989515007e-05,4.400000034365803e-05,4.400000034365803e-05,8644
2024-04-13,4.400000034365803e-05,8.600000001024455e-05,4.400000034365803e-05,4.8000001697801054e-05,4.8000001697801054e-05,36148
2024-04-14,4.8000001697801054e-05,7.500000356230885e-05,4.8000001697801054e-05,5.8000001445179805e-05,5.8000001445179805e-05,22151
2024-04-15,5.8000001445179805e-05,7.000000186963007e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5993
2024-04-16,5.6000000768108293e-05,6.399999983841553e-05,5.400000009103678e-05,5.999999848427251e-05,5.999999848427251e-05,5203
2024-04-17,5.999999848427251e-05,6.70000008540228e-05,5.8000001445179805e-05,5.8000001445179805e-05,5.8000001445179805e-05,8389
2024-04-18,5.8000001445179805e-05,6.299999949987978e-05,5.700000110664405e-05,6.199999916134402e-05,6.199999916134402e-05,6905
2024-04-19,6.199999916134402e-05,6.199999916134402e-05,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,4946
2024-04-20,5.2999999752501026e-05,6.70000008540228e-05,5.0999999075429514e-05,6.600000051548705e-05,6.600000051548705e-05,5906
2024-04-21,6.600000051548705e-05,6.600000051548705e-05,6.299999949987978e-05,6.600000051548705e-05,6.600000051548705e-05,3649
2024-04-22,6.600000051548705e-05,6.600000051548705e-05,6.0999998822808266e-05,6.500000017695129e-05,6.500000017695129e-05,2472
2024-04-23,6.500000017695129e-05,6.500000017695129e-05,6.0999998822808266e-05,6.199999916134402e-05,6.199999916134402e-05,4181
2024-04-24,6.199999916134402e-05,6.199999916134402e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,11171
2024-04-25,4.8999998398358e-05,5.6000000768108293e-05,4.8999998398358e-05,5.199999941396527e-05,5.199999941396527e-05,7261
2024-04-26,5.199999941396527e-05,5.500000042957254e-05,5.0999999075429514e-05,5.0999999075429514e-05,5.0999999075429514e-05,1734
2024-04-27,5.0999999075429514e-05,6.199999916134402e-05,4.8000001697801054e-05,5.2999999752501026e-05,5.2999999752501026e-05,8536
2024-04-28,5.2999999752501026e-05,5.400000009103678e-05,4.8999998398358e-05,4.999999873689376e-05,4.999999873689376e-05,1016
2024-04-29,4.999999873689376e-05,5.199999941396527e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,1130
2024-04-30,4.8999998398358e-05,4.999999873689376e-05,4.5000000682193786e-05,4.600000102072954e-05,4.600000102072954e-05,1055
2024-05-01,4.600000102072954e-05,5.500000042957254e-05,4.099999932805076e-05,4.5000000682193786e-05,4.5000000682193786e-05,3162
2024-05-02,4.5000000682193786e-05,5.700000110664405e-05,4.3000000005122274e-05,5.199999941396527e-05,5.199999941396527e-05,2182
2024-05-03,5.199999941396527e-05,5.199999941396527e-05,4.400000034365803e-05,4.70000013592653e-05,4.70000013592653e-05,2457
2024-05-04,4.70000013592653e-05,5.199999941396527e-05,4.600000102072954e-05,4.70000013592653e-05,4.70000013592653e-05,3251
